ProductID,SKUCode,ProductName,ShortDescription,Category,SubCategory,Department,Brand,ModelNumber,Color,Size,Weight,UnitOfMeasure,SupplierID,SupplierName,CountryOfOrigin,CostPrice,MRP,StandardSellingPrice,TaxPercent,ReorderLevel,LaunchDate,ProductStatus
P11010,5CBX7673,Samsung Women 1010,Samsung Women high quality product,Clothing,Women,Fashion,Samsung,M-1529,Red,M,5.01,Piece,S853,Supplier_20,India,2853.91,3339.2,3553.87,18,51,04-12-2024,Active
P11011,H2YBF55Z,Nestle Sunglasses 1011,Nestle Sunglasses high quality product,Accessories,Sunglasses,Fashion,Nestle,M-2176,Red,L,3.87,Piece,S462,Supplier_48,Vietnam,899.38,1267.4,1137.33,18,196,07-09-2024,Active
P11012,UP4Z5QL6,Puma Mobile 1012,Puma Mobile high quality product,Electronics,Mobile,Fashion,Puma,M-6148,Green,L,7.27,Piece,S245,Supplier_30,Germany,997.02,1249.34,1261.22,5,182,08-08-2023,Active
P11013,KVSYSHLK,Sony Men 1013,Sony Men high quality product,Clothing,Men,Electronics,Sony,M-6123,Gray,S,1.98,Piece,S157,Supplier_35,China,3395.66,4995.04,4153.65,18,113,25-02-2025,Active
P11014,NZML09K6,Samsung Snacks 1014,Samsung Snacks high quality product,Grocery,Snacks,FMCG,Samsung,M-2110,Blue,S,8.92,Piece,S522,Supplier_27,USA,2410.12,3563.78,2685.23,18,180,09-04-2024,Active
P11015,NJ0EAM2D,Nike Kids 1015,Nike Kids high quality product,Clothing,Kids,Electronics,Nike,M-4887,White,XL,6.19,Piece,S939,Supplier_9,China,4397.83,5304.72,5404.51,12,104,23-08-2025,Active
P11016,SGLTYUUU,Sony Accessory 1016,Sony Accessory high quality product,Electronics,Accessory,Fashion,Sony,M-7353,White,S,5.37,Piece,S756,Supplier_27,India,2085.25,2608.23,2606.9,5,65,31-03-2025,Active
P11017,MAFU62D8,Apple Household 1017,Apple Household high quality product,Grocery,Household,Electronics,Apple,M-5543,Red,NA,9.95,Piece,S989,Supplier_50,Germany,2048.05,2378.57,2648.76,5,49,13-06-2023,Active
P11018,R7MXS59H,HP Sunglasses 1018,HP Sunglasses high quality product,Accessories,Sunglasses,FMCG,HP,M-2248,White,S,2.82,Piece,S891,Supplier_27,Vietnam,4350.34,5660.14,5594.72,5,196,11-03-2025,Active
P11019,DYPEI97K,Puma Mobile 1019,Puma Mobile high quality product,Electronics,Mobile,Electronics,Puma,M-7985,Black,L,7.69,Piece,S838,Supplier_11,Vietnam,2809.83,3815.84,3191.22,18,83,03-11-2023,Active
P11020,DASAFMT2,Samsung Sunglasses 1020,Samsung Sunglasses high quality product,Accessories,Sunglasses,Electronics,Samsung,M-1700,Black,L,1.85,Piece,S326,Supplier_19,India,4417.87,6116.46,5653.78,5,59,03-01-2025,Active
P11021,98NHHNWI,Dell Laptop 1021,Dell Laptop high quality product,Electronics,Laptop,FMCG,Dell,M-1386,Red,XL,6.74,Piece,S778,Supplier_50,USA,2633.41,2962.4,2925.09,5,191,08-03-2025,Active
P11022,M7D908F5,Lenovo Beverages 1022,Lenovo Beverages high quality product,Grocery,Beverages,FMCG,Lenovo,M-7929,White,NA,5.26,Piece,S921,Supplier_13,China,1950.11,2493.83,2243.59,18,167,09-09-2025,Active
P11023,IH0JJYGH,Puma Beverages 1023,Puma Beverages high quality product,Grocery,Beverages,Electronics,Puma,M-7759,Blue,L,6.55,Piece,S680,Supplier_27,China,2841.32,3497.23,3370.13,5,115,27-12-2023,Active
P11024,WHV7140Z,Lenovo Kids 1024,Lenovo Kids high quality product,Clothing,Kids,FMCG,Lenovo,M-4870,Blue,M,6.26,Piece,S713,Supplier_4,Germany,3981.59,4784.23,4689.94,18,82,31-07-2025,Active
P11025,GMYLOTX4,HP Men 1025,HP Men high quality product,Clothing,Men,Electronics,HP,M-1802,Blue,L,4.47,Piece,S573,Supplier_47,India,2988.92,4099.02,3546.79,18,140,16-05-2024,Active
P11026,E404LOXS,Puma Watch 1026,Puma Watch high quality product,Accessories,Watch,FMCG,Puma,M-9768,Red,XL,4.12,Piece,S570,Supplier_22,Germany,2510.89,3626.93,2865.78,5,62,09-06-2024,Active
P11027,C1JZO58A,HP Tablet 1027,HP Tablet high quality product,Electronics,Tablet,Electronics,HP,M-4956,Blue,NA,6.3,Piece,S627,Supplier_49,China,3391.34,4719.67,3720.01,5,48,14-04-2025,Active
P11028,D83O48GX,Puma Laptop 1028,Puma Laptop high quality product,Electronics,Laptop,Fashion,Puma,M-3614,Blue,S,5.13,Piece,S144,Supplier_34,Germany,4835.53,6871.6,6137.94,12,43,22-06-2025,Active
P11029,YIU5O1R3,Sony Household 1029,Sony Household high quality product,Grocery,Household,Electronics,Sony,M-2670,White,M,7.87,Piece,S967,Supplier_28,China,3964.82,5127.15,5113.49,18,142,21-12-2024,Active
P11030,MZM9H93C,Nestle Watch 1030,Nestle Watch high quality product,Accessories,Watch,FMCG,Nestle,M-7350,White,XL,5.58,Piece,S856,Supplier_44,Vietnam,1122.31,1426.61,1295.21,18,47,04-11-2025,Active
P11031,O9JA2DUV,Puma Sunglasses 1031,Puma Sunglasses high quality product,Accessories,Sunglasses,Electronics,Puma,M-4761,Red,L,6.88,Piece,S739,Supplier_47,China,2984.2,3854.11,3154.2,5,30,25-04-2025,Active
P11032,URVYKG7I,Dell Sunglasses 1032,Dell Sunglasses high quality product,Accessories,Sunglasses,Fashion,Dell,M-2589,White,S,7.12,Piece,S697,Supplier_13,USA,191.01,267.84,214.75,18,106,10-03-2025,Active
P11033,EG3P0W55,Adidas Men 1033,Adidas Men high quality product,Clothing,Men,Electronics,Adidas,M-9320,Red,L,7.22,Piece,S224,Supplier_38,Germany,4957.82,7014.22,6429.93,12,41,16-12-2023,Active
P11034,09HMMIOH,Apple Kids 1034,Apple Kids high quality product,Clothing,Kids,FMCG,Apple,M-7608,White,XL,6.95,Piece,S283,Supplier_30,China,3754.34,4549.39,4541.72,12,14,24-02-2025,Active
P11035,M9GAYASZ,Puma Men 1035,Puma Men high quality product,Clothing,Men,Electronics,Puma,M-5802,Black,NA,7.24,Piece,S191,Supplier_2,Germany,3064.29,3918.11,3304.38,18,106,25-07-2023,Active
P11036,MT0MTQNL,Adidas Laptop 1036,Adidas Laptop high quality product,Electronics,Laptop,FMCG,Adidas,M-9724,Green,M,7.31,Piece,S149,Supplier_30,Germany,4780.49,5720.14,6022.46,18,108,21-10-2025,Active
P11037,SQG3S8BG,Sony Tablet 1037,Sony Tablet high quality product,Electronics,Tablet,FMCG,Sony,M-7208,Blue,L,4.78,Piece,S430,Supplier_45,China,2475.63,3225.18,3105.79,12,127,22-03-2024,Active
P11038,CNVT5O6E,Adidas Laptop 1038,Adidas Laptop high quality product,Electronics,Laptop,Fashion,Adidas,M-7826,Blue,M,8.91,Piece,S732,Supplier_12,USA,2486.17,2778.47,2667.27,18,85,17-01-2024,Active
P11039,A3TXE48D,Lenovo Household 1039,Lenovo Household high quality product,Grocery,Household,Electronics,Lenovo,M-3998,Red,L,7.53,Piece,S176,Supplier_23,Germany,3195.18,4547.46,3752.71,18,37,05-09-2024,Active
P11040,0OQFFMR3,HP Kids 1040,HP Kids high quality product,Clothing,Kids,Fashion,HP,M-2996,Blue,M,4.09,Piece,S521,Supplier_46,USA,4197.96,5527.21,5281.4,18,166,15-03-2024,Active
P11041,SWLX6W94,Adidas Sunglasses 1041,Adidas Sunglasses high quality product,Accessories,Sunglasses,Fashion,Adidas,M-8237,Black,XL,3.3,Piece,S647,Supplier_10,India,1243.09,1429.54,1393.67,12,78,13-06-2025,Active
P11042,5K4U82UN,HP Beverages 1042,HP Beverages high quality product,Grocery,Beverages,FMCG,HP,M-3289,Red,L,9.53,Piece,S674,Supplier_16,USA,4580.44,6701.41,5299.58,5,38,26-07-2023,Active
P11043,GNSNT2ME,Adidas Laptop 1043,Adidas Laptop high quality product,Electronics,Laptop,Fashion,Adidas,M-6130,Red,NA,4.27,Piece,S525,Supplier_19,India,416.22,486.67,441.14,12,159,31-05-2025,Active
P11044,69Q8LDSN,Puma Mobile 1044,Puma Mobile high quality product,Electronics,Mobile,Fashion,Puma,M-8841,Black,S,9.18,Piece,S129,Supplier_6,USA,2572.87,3490.04,3024.46,18,109,28-12-2023,Active
P11045,FYCC4Z7C,Lenovo Tablet 1045,Lenovo Tablet high quality product,Electronics,Tablet,FMCG,Lenovo,M-3020,Gray,L,0.29,Piece,S263,Supplier_38,Germany,4049.52,5325.22,4753.51,12,165,23-05-2024,Active
P11046,BDA3YIUQ,Sony Tablet 1046,Sony Tablet high quality product,Electronics,Tablet,FMCG,Sony,M-4422,Green,M,4.15,Piece,S897,Supplier_36,Vietnam,1659.1,2474.59,2048.66,18,51,24-08-2025,Active
P11047,E2W9LQPM,Lenovo Women 1047,Lenovo Women high quality product,Clothing,Women,FMCG,Lenovo,M-4069,White,NA,8.8,Piece,S103,Supplier_49,USA,480.52,678.69,614.97,18,19,28-08-2025,Active
P11048,GWTX59V4,Samsung Bag 1048,Samsung Bag high quality product,Accessories,Bag,Fashion,Samsung,M-3227,White,M,8.74,Piece,S699,Supplier_12,Germany,4002.4,5218.59,4261.41,5,113,12-12-2024,Active
P11049,O7J1LPFF,Puma Men 1049,Puma Men high quality product,Clothing,Men,FMCG,Puma,M-2666,White,NA,8.62,Piece,S856,Supplier_2,Vietnam,3954.18,5872.84,4743.25,12,166,26-11-2025,Active
P11050,WHGVI0R6,Nike Women 1050,Nike Women high quality product,Clothing,Women,Electronics,Nike,M-2850,Green,XL,3.82,Piece,S271,Supplier_46,Germany,1030.52,1299.5,1217.96,12,62,29-10-2023,Active
P11051,SXBIS1OZ,Sony Kids 1051,Sony Kids high quality product,Clothing,Kids,Fashion,Sony,M-3607,Red,M,2.07,Piece,S462,Supplier_44,Vietnam,1717.38,2381.85,2074.65,12,161,25-06-2024,Active
P11052,GSEN92GV,Nike Accessory 1052,Nike Accessory high quality product,Electronics,Accessory,Fashion,Nike,M-5951,Green,M,3.69,Piece,S915,Supplier_16,Vietnam,3017,3763.55,3537.19,18,106,26-07-2025,Active
P11053,TIWPY0RG,Sony Mobile 1053,Sony Mobile high quality product,Electronics,Mobile,Electronics,Sony,M-5277,White,S,0.2,Piece,S248,Supplier_35,India,1580.27,2053.5,1833.15,12,149,07-04-2025,Active
P11054,9CC6X4LV,Nike Kids 1054,Nike Kids high quality product,Clothing,Kids,Electronics,Nike,M-9344,Red,M,2.93,Piece,S477,Supplier_41,India,2441.02,3551.75,2617.56,12,181,09-10-2024,Active
P11055,2NGO2KJE,Samsung Beverages 1055,Samsung Beverages high quality product,Grocery,Beverages,FMCG,Samsung,M-3473,Red,M,1.56,Piece,S798,Supplier_19,USA,4703.91,5562.28,5443.12,18,26,08-08-2025,Active
P11056,M0RGYIC6,Dell Snacks 1056,Dell Snacks high quality product,Grocery,Snacks,Electronics,Dell,M-2307,Blue,S,1.13,Piece,S879,Supplier_48,India,2596.5,3642.35,2955.3,18,186,17-01-2025,Active
P11057,9CHGKWD4,Lenovo Tablet 1057,Lenovo Tablet high quality product,Electronics,Tablet,Electronics,Lenovo,M-6533,Green,NA,7.27,Piece,S256,Supplier_6,Germany,3974.24,4641.63,5072.33,12,191,26-12-2024,Active
P11058,MJM2FO4K,Adidas Sunglasses 1058,Adidas Sunglasses high quality product,Accessories,Sunglasses,Electronics,Adidas,M-2723,Black,NA,0.51,Piece,S398,Supplier_21,USA,2361.67,3123.98,2625.21,12,89,15-06-2023,Active
P11059,J0KG4S2T,Adidas Beverages 1059,Adidas Beverages high quality product,Grocery,Beverages,Fashion,Adidas,M-2763,Red,S,5.34,Piece,S654,Supplier_41,China,3406.33,4686.38,4335.47,12,26,23-11-2023,Active
P11060,14OMO4EA,HP Beverages 1060,HP Beverages high quality product,Grocery,Beverages,FMCG,HP,M-8973,White,M,4.6,Piece,S709,Supplier_24,USA,1880.48,2712.78,2235.33,5,93,03-11-2024,Active
P11061,6NTAOUXN,Dell Household 1061,Dell Household high quality product,Grocery,Household,FMCG,Dell,M-2293,Red,L,9.56,Piece,S341,Supplier_45,Germany,1190.72,1646.71,1381.79,5,160,02-12-2025,Active
P11062,MIIGHFKZ,HP Sunglasses 1062,HP Sunglasses high quality product,Accessories,Sunglasses,Electronics,HP,M-3559,Gray,M,8.39,Piece,S100,Supplier_49,Germany,3040.34,3807.95,3803.39,5,66,06-03-2024,Active
P11063,UXQJZLSS,Samsung Snacks 1063,Samsung Snacks high quality product,Grocery,Snacks,FMCG,Samsung,M-6610,Red,L,7.94,Piece,S138,Supplier_6,Germany,926.05,1351.3,1111.41,5,67,31-01-2024,Active
P11064,FCBGMADR,Lenovo Snacks 1064,Lenovo Snacks high quality product,Grocery,Snacks,Fashion,Lenovo,M-7353,Green,XL,4.18,Piece,S324,Supplier_31,India,1312.96,1630.72,1396.42,18,193,07-05-2024,Active
P11065,2WCV5O4X,Sony Watch 1065,Sony Watch high quality product,Accessories,Watch,Electronics,Sony,M-1014,Black,L,3.89,Piece,S854,Supplier_35,Germany,1948.93,2389.11,2126.69,5,69,21-03-2024,Active
P11066,7CCW4B5N,Nike Watch 1066,Nike Watch high quality product,Accessories,Watch,Fashion,Nike,M-7249,White,NA,8.57,Piece,S103,Supplier_44,Vietnam,441.08,486.7,466.2,5,100,30-08-2024,Active
P11067,XTNIE20E,Lenovo Beverages 1067,Lenovo Beverages high quality product,Grocery,Beverages,Electronics,Lenovo,M-3918,Red,NA,8.48,Piece,S958,Supplier_39,USA,1475.4,2168,1914.18,5,31,08-10-2023,Active
P11068,CGKXT96J,Nike Kids 1068,Nike Kids high quality product,Clothing,Kids,Fashion,Nike,M-2717,Green,XL,0.23,Piece,S200,Supplier_45,Germany,297.97,358.47,357.71,12,59,05-02-2024,Active
P11069,9SHKDZB2,Adidas Household 1069,Adidas Household high quality product,Grocery,Household,Fashion,Adidas,M-4577,White,XL,6.39,Piece,S426,Supplier_33,Vietnam,2501.26,2792.35,2640.56,12,42,26-01-2025,Active
P11070,4RIDN8DY,Nestle Women 1070,Nestle Women high quality product,Clothing,Women,Fashion,Nestle,M-5150,Green,L,9.6,Piece,S623,Supplier_49,India,3143.49,3857.56,3559.16,12,29,13-01-2026,Active
P11071,X9TGI7MF,Samsung Men 1071,Samsung Men high quality product,Clothing,Men,Fashion,Samsung,M-4129,Blue,M,6.43,Piece,S185,Supplier_24,Germany,4078.16,5956.68,5065.08,12,97,05-10-2023,Active
P11072,XKX3Z91R,Sony Beverages 1072,Sony Beverages high quality product,Grocery,Beverages,Electronics,Sony,M-5896,White,XL,3.35,Piece,S496,Supplier_20,Germany,4760.23,6938.41,5264.13,5,108,20-08-2025,Active
P11073,6FOIK7I2,Apple Beverages 1073,Apple Beverages high quality product,Grocery,Beverages,FMCG,Apple,M-5757,White,M,1.4,Piece,S940,Supplier_40,China,2688.5,3069.66,3229.11,18,112,11-11-2024,Active
P11074,GD2USJHS,Puma Household 1074,Puma Household high quality product,Grocery,Household,FMCG,Puma,M-9708,Blue,S,1.09,Piece,S442,Supplier_7,Germany,3873.54,4316.76,4605.49,18,75,20-02-2025,Active
P11075,NWB5PUNZ,Samsung Accessory 1075,Samsung Accessory high quality product,Electronics,Accessory,FMCG,Samsung,M-9231,Green,M,7.87,Piece,S100,Supplier_45,USA,2443.05,3462.22,2872.55,5,149,25-07-2025,Active
P11076,08YEPWO5,Puma Bag 1076,Puma Bag high quality product,Accessories,Bag,FMCG,Puma,M-2706,Black,M,0.82,Piece,S603,Supplier_14,Germany,4477.78,6436.68,4896.99,12,48,19-11-2025,Active
P11077,NS3JZK4Y,Samsung Sunglasses 1077,Samsung Sunglasses high quality product,Accessories,Sunglasses,Electronics,Samsung,M-1934,Red,NA,9.4,Piece,S880,Supplier_46,USA,4486.67,5329.27,4716.4,5,186,16-01-2026,Active
P11078,9RWKA89I,Lenovo Women 1078,Lenovo Women high quality product,Clothing,Women,Fashion,Lenovo,M-9187,White,M,2.98,Piece,S737,Supplier_49,China,2748.71,3042.77,3074.51,5,178,03-11-2024,Active
P11079,2D0J6FX5,Sony Bag 1079,Sony Bag high quality product,Accessories,Bag,Electronics,Sony,M-5764,Red,S,5.89,Piece,S222,Supplier_11,India,4748.41,5718.57,5980.85,5,51,27-12-2025,Active
P11080,81PQXKK2,HP Tablet 1080,HP Tablet high quality product,Electronics,Tablet,Electronics,HP,M-5013,Blue,M,3.71,Piece,S784,Supplier_29,China,1685.34,2387,2124.66,12,58,18-09-2025,Active
P11081,AXIP144F,Lenovo Men 1081,Lenovo Men high quality product,Clothing,Men,FMCG,Lenovo,M-4223,Black,XL,2.6,Piece,S645,Supplier_39,Germany,4888.5,5619.42,6082.75,5,134,06-10-2023,Active
P11082,E4Z7CGYM,Nestle Women 1082,Nestle Women high quality product,Clothing,Women,Electronics,Nestle,M-8296,Black,XL,8.17,Piece,S596,Supplier_4,China,3695.48,4546.25,4591.79,12,26,01-12-2023,Active
P11083,3R2EJ0O9,Nike Watch 1083,Nike Watch high quality product,Accessories,Watch,Fashion,Nike,M-6470,Green,NA,1.5,Piece,S254,Supplier_10,Germany,1418.55,1793.56,1664.52,18,64,05-09-2023,Active
P11084,9UNQIHII,Nike Tablet 1084,Nike Tablet high quality product,Electronics,Tablet,Electronics,Nike,M-3698,Green,NA,8.12,Piece,S317,Supplier_7,USA,849.65,1070.03,1082.78,12,48,28-09-2023,Active
P11085,BF3B3BDE,Lenovo Sunglasses 1085,Lenovo Sunglasses high quality product,Accessories,Sunglasses,FMCG,Lenovo,M-7640,Blue,S,1.32,Piece,S349,Supplier_4,Vietnam,2935.36,3401.79,3682.17,18,72,27-05-2025,Active
P11086,FGN5MZK5,Apple Snacks 1086,Apple Snacks high quality product,Grocery,Snacks,FMCG,Apple,M-4877,Gray,S,7.04,Piece,S753,Supplier_27,Vietnam,1649.03,2131.57,1841.66,18,165,12-09-2025,Active
P11087,47N1VW37,Dell Watch 1087,Dell Watch high quality product,Accessories,Watch,Electronics,Dell,M-4072,Black,L,2.15,Piece,S840,Supplier_39,USA,4658.21,5433.28,4934.92,5,76,26-08-2023,Active
P11088,YQCKAHYO,Nestle Kids 1088,Nestle Kids high quality product,Clothing,Kids,FMCG,Nestle,M-1831,Red,NA,2.58,Piece,S744,Supplier_7,Vietnam,2709.28,3913.66,3435.6,5,92,30-07-2025,Active
P11089,L08E6TWT,Dell Bag 1089,Dell Bag high quality product,Accessories,Bag,Fashion,Dell,M-9824,Red,NA,2.91,Piece,S381,Supplier_38,USA,4399.28,5757.03,5366.68,12,144,13-05-2024,Active
P11090,GGE82M2I,Puma Beverages 1090,Puma Beverages high quality product,Grocery,Beverages,FMCG,Puma,M-3158,White,XL,5,Piece,S983,Supplier_11,Vietnam,1360.05,2004.85,1763.93,5,123,25-02-2024,Active
P11091,MUB5FC7C,Nike Beverages 1091,Nike Beverages high quality product,Grocery,Beverages,Electronics,Nike,M-1681,White,M,1.09,Piece,S623,Supplier_38,India,4093.42,4694.38,4569.2,5,106,06-06-2025,Active
P11092,G9WLUX23,Puma Sunglasses 1092,Puma Sunglasses high quality product,Accessories,Sunglasses,Fashion,Puma,M-2229,Blue,XL,7.46,Piece,S307,Supplier_25,Germany,4494.98,6227.33,5344.03,12,125,16-04-2025,Active
P11093,WM50ZXBX,Apple Sunglasses 1093,Apple Sunglasses high quality product,Accessories,Sunglasses,Fashion,Apple,M-4047,Black,M,6.71,Piece,S316,Supplier_12,Germany,1132.14,1312.14,1464.87,18,75,24-05-2025,Active
P11094,A349F5O1,Puma Kids 1094,Puma Kids high quality product,Clothing,Kids,FMCG,Puma,M-7303,Blue,NA,7.12,Piece,S472,Supplier_42,India,4760.16,6618.53,5318.25,18,120,29-07-2024,Active
P11095,D90JROQD,Adidas Sunglasses 1095,Adidas Sunglasses high quality product,Accessories,Sunglasses,Fashion,Adidas,M-8349,Blue,NA,5.14,Piece,S843,Supplier_11,China,2422.79,3244.9,2747.64,12,130,21-01-2025,Active
P11096,FCUC1I5A,Puma Household 1096,Puma Household high quality product,Grocery,Household,Electronics,Puma,M-2521,Blue,XL,9.11,Piece,S743,Supplier_29,India,2461.45,3244.09,3165.75,5,138,29-08-2023,Active
P11097,6KB525RH,Dell Household 1097,Dell Household high quality product,Grocery,Household,Electronics,Dell,M-4050,Red,XL,7.35,Piece,S861,Supplier_11,Germany,703.09,868.56,742.9,5,14,04-12-2024,Active
P11098,UCHGHZHO,Nestle Men 1098,Nestle Men high quality product,Clothing,Men,Fashion,Nestle,M-9651,Black,L,1.9,Piece,S676,Supplier_32,Vietnam,1835.99,2563.24,2054.89,12,151,14-03-2025,Active
P11099,B3A17CYW,HP Women 1099,HP Women high quality product,Clothing,Women,Fashion,HP,M-1921,Green,M,0.27,Piece,S515,Supplier_10,India,2947.73,3798.77,3306.41,5,191,23-03-2025,Active
P11100,25O2SNTC,Nike Beverages 1100,Nike Beverages high quality product,Grocery,Beverages,FMCG,Nike,M-6097,Gray,L,0.72,Piece,S312,Supplier_50,Vietnam,1191.31,1357.75,1503.37,12,119,03-12-2025,Active
P11101,W6NPVJO8,Adidas Beverages 1101,Adidas Beverages high quality product,Grocery,Beverages,FMCG,Adidas,M-6437,Green,NA,8.64,Piece,S834,Supplier_10,Vietnam,2495.44,2935.03,3066.15,18,15,12-08-2025,Active
P11102,3YRJ5NWS,Nike Kids 1102,Nike Kids high quality product,Clothing,Kids,FMCG,Nike,M-3427,Gray,NA,1.39,Piece,S461,Supplier_38,Germany,3398.2,4212.75,3721.78,12,70,15-08-2025,Active
P11103,D4O37XZG,HP Watch 1103,HP Watch high quality product,Accessories,Watch,Fashion,HP,M-7722,White,XL,2.56,Piece,S492,Supplier_37,India,4489.32,5122.54,5460.96,12,189,10-03-2025,Active
P11104,8XV3O581,Apple Bag 1104,Apple Bag high quality product,Accessories,Bag,Fashion,Apple,M-3505,White,XL,2.45,Piece,S784,Supplier_10,China,1617,1821.44,1790.08,5,177,29-11-2023,Active
P11105,FNKVQYI7,Nike Snacks 1105,Nike Snacks high quality product,Grocery,Snacks,Electronics,Nike,M-4341,Green,XL,8.79,Piece,S194,Supplier_4,China,4631.24,5850.54,5508.22,5,164,01-06-2024,Active
P11106,OWWS3RIH,Dell Men 1106,Dell Men high quality product,Clothing,Men,Fashion,Dell,M-9417,Black,NA,0.22,Piece,S588,Supplier_46,China,706.09,787.32,904.88,18,174,01-12-2023,Active
P11107,XSI6QZW9,Sony Beverages 1107,Sony Beverages high quality product,Grocery,Beverages,FMCG,Sony,M-9512,Red,NA,8.64,Piece,S347,Supplier_28,USA,1351.54,1900.04,1644.64,18,173,30-11-2025,Active
P11108,TFGXUVHY,Apple Accessory 1108,Apple Accessory high quality product,Electronics,Accessory,Fashion,Apple,M-7101,White,NA,0.62,Piece,S339,Supplier_32,Germany,1289.81,1732.56,1564.59,18,146,02-07-2023,Active
P11109,RYYBDTBS,Dell Sunglasses 1109,Dell Sunglasses high quality product,Accessories,Sunglasses,Fashion,Dell,M-4052,Black,XL,8.88,Piece,S868,Supplier_45,USA,3409.7,4511.94,4058.72,5,130,22-06-2025,Active
P11110,2938XO00,Nike Snacks 1110,Nike Snacks high quality product,Grocery,Snacks,Electronics,Nike,M-1274,Black,S,8.42,Piece,S447,Supplier_46,China,2724.12,3251.54,3006.08,12,61,03-11-2023,Active
P11111,0SNJOHSQ,Nike Snacks 1111,Nike Snacks high quality product,Grocery,Snacks,Fashion,Nike,M-6013,Gray,XL,2.48,Piece,S552,Supplier_8,Germany,3891.35,4491.15,4240.44,12,41,10-11-2025,Active
P11112,AADO8YZX,Puma Laptop 1112,Puma Laptop high quality product,Electronics,Laptop,Electronics,Puma,M-6554,White,M,7.84,Piece,S730,Supplier_20,India,1362.42,1838.89,1533.38,18,31,25-04-2024,Active
P11113,ONXCS12C,Sony Household 1113,Sony Household high quality product,Grocery,Household,Fashion,Sony,M-7130,Gray,XL,1.61,Piece,S776,Supplier_48,India,2690.2,3648.63,3064.87,18,100,05-05-2025,Active
P11114,M3OWFUSF,Puma Bag 1114,Puma Bag high quality product,Accessories,Bag,FMCG,Puma,M-1838,Gray,XL,9.55,Piece,S334,Supplier_38,China,2130.48,3102.91,2454.02,12,76,19-04-2024,Active
P11115,9V86PI7I,Apple Kids 1115,Apple Kids high quality product,Clothing,Kids,Fashion,Apple,M-4002,Black,NA,7.84,Piece,S239,Supplier_7,China,1195.97,1679.29,1270.35,18,16,16-02-2025,Active
P11116,FE1DGFWU,Nestle Accessory 1116,Nestle Accessory high quality product,Electronics,Accessory,Fashion,Nestle,M-8001,Green,M,5.15,Piece,S620,Supplier_14,China,2949.88,3661.6,3347.93,5,172,01-06-2024,Active
P11117,CYLA70FG,Samsung Kids 1117,Samsung Kids high quality product,Clothing,Kids,Fashion,Samsung,M-7499,Red,XL,7.29,Piece,S700,Supplier_26,China,2150.48,2673.45,2754.05,12,184,03-09-2024,Active
P11118,IDH1H08O,Dell Bag 1118,Dell Bag high quality product,Accessories,Bag,Fashion,Dell,M-3887,White,S,8.53,Piece,S690,Supplier_11,India,3742.41,4155.98,4668.43,18,120,11-03-2025,Active
