StoreID,StoreCode,StoreName,StoreType,StoreFormat,AddressLine1,AddressLine2,City,StateProvince,PostalCode,Country,Region,Latitude,Longitude,StoreManager,ManagerEmail,ManagerPhone,StoreSizeSqFt,NumberOfEmployees,OpeningDate,ClosingDate,IsFranchise,StoreStatus,TargetRevenue
64,SRC-0064,SRC Mumbai Store 64,Outlet,Small,353 Main Street,,Mumbai,Maharashtra,90205,India,Asia,-73.64885,154.151166,Manager 64,manager64@srcstores.com,-9574181,22037,280,09-08-2013,,TRUE,Closed,2637459.6
65,SRC-0065,SRC Hanoi Store 65,Flagship,Large,109 Main Street,,Hanoi,Hanoi,27690,Vietnam,Asia,26.992185,170.919876,Manager 65,manager65@srcstores.com,-5789757,38680,155,15-03-2014,,FALSE,Active,6400093.97
66,SRC-0066,SRC Berlin Store 66,Mall,Small,520 Main Street,,Berlin,Berlin,86316,Germany,Europe,41.463773,117.829937,Manager 66,manager66@srcstores.com,-3881460,42254,191,13-06-2016,25-03-2021,FALSE,Active,1291945.93
67,SRC-0067,SRC Seattle Store 67,Outlet,Medium,311 Main Street,,Seattle,WA,89560,USA,North America,-62.239073,84.307587,Manager 67,manager67@srcstores.com,-8785086,38291,133,08-09-2010,,FALSE,Active,14803352.83
68,SRC-0068,SRC Chicago Store 68,Retail,Small,861 Main Street,,Chicago,IL,27592,USA,North America,-72.316773,-30.467493,Manager 68,manager68@srcstores.com,-7126375,2177,232,28-10-2016,,TRUE,Renovation,13823046.12
69,SRC-0069,SRC San Francisco Store 69,Flagship,Small,232 Main Street,,San Francisco,CA,80047,USA,North America,-70.44011,-48.168812,Manager 69,manager69@srcstores.com,-1871860,23256,67,01-03-2020,,FALSE,Active,9581607.23
70,SRC-0070,SRC Shanghai Store 70,Outlet,Large,698 Main Street,,Shanghai,Shanghai,42700,China,Asia,-20.549457,45.736942,Manager 70,manager70@srcstores.com,-4478464,14729,256,18-07-2011,,FALSE,Active,15527072.2
71,SRC-0071,SRC Berlin Store 71,Flagship,Medium,309 Main Street,,Berlin,Berlin,32352,Germany,Europe,-75.440806,47.117545,Manager 71,manager71@srcstores.com,-7265552,45742,37,02-08-2018,,TRUE,Active,11861191.64
72,SRC-0072,SRC London Store 72,Retail,Small,90 Main Street,,London,England,50646,UK,Europe,-69.490548,-153.004226,Manager 72,manager72@srcstores.com,-8861508,9661,270,20-02-2017,,FALSE,Active,4222260.44
73,SRC-0073,SRC Seattle Store 73,Outlet,Large,496 Main Street,,Seattle,WA,56317,USA,North America,-21.11415,-4.927154,Manager 73,manager73@srcstores.com,-9139456,13730,43,04-10-2015,,FALSE,Closed,6411675.82
74,SRC-0074,SRC Pune Store 74,Flagship,Small,831 Main Street,,Pune,Maharashtra,23782,India,Asia,2.536272,-7.654168,Manager 74,manager74@srcstores.com,-1750723,37106,278,07-07-2019,,FALSE,Closed,12817441.85
75,SRC-0075,SRC Mumbai Store 75,Mall,Small,403 Main Street,,Mumbai,Maharashtra,55861,India,Asia,34.826843,-76.150438,Manager 75,manager75@srcstores.com,-1992941,3558,256,09-11-2012,,TRUE,Renovation,7464545.35
76,SRC-0076,SRC San Francisco Store 76,Outlet,Large,40 Main Street,,San Francisco,CA,26333,USA,North America,-31.567673,57.203734,Manager 76,manager76@srcstores.com,-8159524,39118,250,22-05-2016,,FALSE,Active,16926870.65
77,SRC-0077,SRC Hanoi Store 77,Mall,Large,809 Main Street,,Hanoi,Hanoi,76269,Vietnam,Asia,-31.641215,-138.197721,Manager 77,manager77@srcstores.com,-3797474,5937,118,12-12-2019,,TRUE,Active,8643046.87
78,SRC-0078,SRC Hanoi Store 78,Flagship,Large,646 Main Street,,Hanoi,Hanoi,79450,Vietnam,Asia,42.102011,13.354475,Manager 78,manager78@srcstores.com,-6158267,21981,107,14-07-2020,,TRUE,Active,17186144.24
79,SRC-0079,SRC San Francisco Store 79,Flagship,Medium,527 Main Street,,San Francisco,CA,36595,USA,North America,81.613288,101.706408,Manager 79,manager79@srcstores.com,-1041013,8905,98,13-08-2020,,TRUE,Closed,15767601.07
80,SRC-0080,SRC Chicago Store 80,Retail,Large,479 Main Street,,Chicago,IL,47421,USA,North America,-23.655612,-179.656551,Manager 80,manager80@srcstores.com,-7139065,19516,91,13-09-2016,,FALSE,Active,7840199.78
81,SRC-0081,SRC Mumbai Store 81,Outlet,Small,89 Main Street,,Mumbai,Maharashtra,85970,India,Asia,89.830819,25.909633,Manager 81,manager81@srcstores.com,-8742712,49358,28,23-01-2020,,TRUE,Active,6065376.67
82,SRC-0082,SRC London Store 82,Mall,Large,486 Main Street,,London,England,17885,UK,Europe,73.791491,37.609741,Manager 82,manager82@srcstores.com,-1954004,47254,26,07-05-2017,,TRUE,Closed,6291271.68
83,SRC-0083,SRC San Francisco Store 83,Outlet,Large,315 Main Street,,San Francisco,CA,42399,USA,North America,62.620312,-137.485544,Manager 83,manager83@srcstores.com,-3710127,23804,98,28-10-2013,,TRUE,Closed,9392248.28
84,SRC-0084,SRC Hanoi Store 84,Mall,Medium,787 Main Street,,Hanoi,Hanoi,10722,Vietnam,Asia,-23.346734,117.255222,Manager 84,manager84@srcstores.com,-1298851,29104,67,07-02-2014,,TRUE,Closed,5355046.39
85,SRC-0085,SRC Mumbai Store 85,Mall,Large,644 Main Street,,Mumbai,Maharashtra,94533,India,Asia,66.746348,-27.655017,Manager 85,manager85@srcstores.com,-6147397,3084,99,25-05-2014,,TRUE,Active,9726176.46
86,SRC-0086,SRC Pune Store 86,Flagship,Small,950 Main Street,,Pune,Maharashtra,30613,India,Asia,22.89032,-179.619964,Manager 86,manager86@srcstores.com,-9344556,24616,286,11-06-2020,,TRUE,Active,5567205.19
87,SRC-0087,SRC Pune Store 87,Outlet,Large,278 Main Street,,Pune,Maharashtra,71481,India,Asia,5.74285,179.604889,Manager 87,manager87@srcstores.com,-6610947,31834,257,21-03-2019,,TRUE,Active,9168372.58
88,SRC-0088,SRC Berlin Store 88,Outlet,Small,978 Main Street,,Berlin,Berlin,74346,Germany,Europe,-59.470879,102.663893,Manager 88,manager88@srcstores.com,-4115715,44783,75,19-06-2019,,TRUE,Renovation,10868425.65
89,SRC-0089,SRC Chicago Store 89,Mall,Large,927 Main Street,,Chicago,IL,63694,USA,North America,39.552125,-138.692121,Manager 89,manager89@srcstores.com,-5610110,7915,116,31-10-2016,,TRUE,Active,5726228.9
90,SRC-0090,SRC London Store 90,Outlet,Medium,930 Main Street,,London,England,17335,UK,Europe,76.824614,-117.070587,Manager 90,manager90@srcstores.com,-6305444,34277,206,22-02-2017,,FALSE,Active,5472353.95
91,SRC-0091,SRC Mumbai Store 91,Outlet,Medium,708 Main Street,,Mumbai,Maharashtra,93312,India,Asia,-51.826746,20.940724,Manager 91,manager91@srcstores.com,-8122843,46787,148,10-05-2018,,TRUE,Renovation,1059323.38
92,SRC-0092,SRC Berlin Store 92,Mall,Small,879 Main Street,,Berlin,Berlin,44824,Germany,Europe,49.98391,107.087997,Manager 92,manager92@srcstores.com,-5969571,38023,279,29-10-2012,,FALSE,Active,14939402.18
93,SRC-0093,SRC London Store 93,Flagship,Large,784 Main Street,,London,England,44225,UK,Europe,45.240603,44.095913,Manager 93,manager93@srcstores.com,-9095665,42719,202,19-09-2020,,FALSE,Active,16489165.27
94,SRC-0094,SRC San Francisco Store 94,Mall,Medium,289 Main Street,,San Francisco,CA,23648,USA,North America,89.58429,-113.278089,Manager 94,manager94@srcstores.com,-5749435,31319,296,30-05-2015,,TRUE,Active,19984436.92
95,SRC-0095,SRC New York Store 95,Mall,Small,125 Main Street,,New York,NY,56021,USA,North America,64.538831,123.520771,Manager 95,manager95@srcstores.com,-9082128,29385,156,23-07-2013,,TRUE,Renovation,4590789.97
96,SRC-0096,SRC Shanghai Store 96,Flagship,Medium,265 Main Street,,Shanghai,Shanghai,85198,China,Asia,88.33947,-60.52268,Manager 96,manager96@srcstores.com,-1484042,46377,226,19-03-2010,,FALSE,Renovation,16182540.76
97,SRC-0097,SRC Pune Store 97,Mall,Large,80 Main Street,,Pune,Maharashtra,19880,India,Asia,55.647013,-10.915893,Manager 97,manager97@srcstores.com,-6664905,7506,254,12-10-2018,,TRUE,Closed,5918898.62
98,SRC-0098,SRC London Store 98,Flagship,Large,594 Main Street,,London,England,14782,UK,Europe,-29.709985,112.353071,Manager 98,manager98@srcstores.com,-9323643,30534,130,14-06-2011,,FALSE,Active,12191262.41
99,SRC-0099,SRC Mumbai Store 99,Retail,Large,991 Main Street,,Mumbai,Maharashtra,99160,India,Asia,70.503181,-178.605225,Manager 99,manager99@srcstores.com,-1333330,2721,230,27-11-2016,,TRUE,Active,10366085.93
100,SRC-0100,SRC Shanghai Store 100,Mall,Small,499 Main Street,,Shanghai,Shanghai,89352,China,Asia,64.962201,159.782817,Manager 100,manager100@srcstores.com,-9628047,41669,267,31-12-2014,,TRUE,Renovation,2296904.91
101,SRC-0101,SRC Mumbai Store 101,Flagship,Small,784 Main Street,,Mumbai,Maharashtra,46854,India,Asia,-45.304831,-157.924604,Manager 101,manager101@srcstores.com,-6266698,22331,212,05-05-2019,,TRUE,Renovation,15177853.09
102,SRC-0102,SRC San Francisco Store 102,Mall,Medium,519 Main Street,,San Francisco,CA,48513,USA,North America,-1.963147,24.712365,Manager 102,manager102@srcstores.com,-9741669,38719,213,04-02-2019,,TRUE,Active,19590050.55
103,SRC-0103,SRC Shanghai Store 103,Mall,Medium,797 Main Street,,Shanghai,Shanghai,11119,China,Asia,-41.480308,63.478491,Manager 103,manager103@srcstores.com,-1786821,10786,134,31-10-2017,26-12-2022,TRUE,Active,6572677
104,SRC-0104,SRC San Francisco Store 104,Flagship,Small,395 Main Street,,San Francisco,CA,66247,USA,North America,-21.00756,-45.877547,Manager 104,manager104@srcstores.com,-6880573,44591,42,09-11-2010,17-04-2015,TRUE,Closed,11864986.18
105,SRC-0105,SRC Berlin Store 105,Retail,Large,963 Main Street,,Berlin,Berlin,52932,Germany,Europe,-35.690213,-154.810257,Manager 105,manager105@srcstores.com,-8330525,11369,184,12-08-2016,,FALSE,Active,16447493.77
106,SRC-0106,SRC New York Store 106,Flagship,Small,385 Main Street,,New York,NY,28883,USA,North America,74.521747,29.356217,Manager 106,manager106@srcstores.com,-2333909,23147,252,22-12-2013,,FALSE,Active,17622519.47
107,SRC-0107,SRC London Store 107,Mall,Medium,716 Main Street,,London,England,72889,UK,Europe,44.234735,148.649225,Manager 107,manager107@srcstores.com,-9032000,37641,99,17-05-2019,,TRUE,Closed,10629006.72
108,SRC-0108,SRC San Francisco Store 108,Retail,Large,816 Main Street,,San Francisco,CA,34218,USA,North America,-41.15599,-140.450545,Manager 108,manager108@srcstores.com,-7035617,17673,144,03-12-2012,,FALSE,Renovation,16354665.88
109,SRC-0109,SRC Berlin Store 109,Mall,Medium,323 Main Street,,Berlin,Berlin,42074,Germany,Europe,89.278438,163.717872,Manager 109,manager109@srcstores.com,-4256560,24813,268,08-05-2018,,FALSE,Renovation,17505207.28
110,SRC-0110,SRC Mumbai Store 110,Mall,Small,951 Main Street,,Mumbai,Maharashtra,39793,India,Asia,85.710825,62.643022,Manager 110,manager110@srcstores.com,-1602937,42153,191,14-01-2016,24-04-2021,FALSE,Active,4266940.01
111,SRC-0111,SRC Hanoi Store 111,Retail,Medium,688 Main Street,,Hanoi,Hanoi,92403,Vietnam,Asia,55.476445,143.352692,Manager 111,manager111@srcstores.com,-9159051,11829,227,08-02-2019,,FALSE,Closed,8280958.72
112,SRC-0112,SRC Chicago Store 112,Flagship,Small,417 Main Street,,Chicago,IL,82439,USA,North America,-58.199462,-72.623575,Manager 112,manager112@srcstores.com,-3292283,5127,180,13-08-2017,21-09-2020,FALSE,Active,9314456.68
113,SRC-0113,SRC Berlin Store 113,Outlet,Small,461 Main Street,,Berlin,Berlin,91909,Germany,Europe,-10.668729,-174.890997,Manager 113,manager113@srcstores.com,-2231070,27375,28,16-03-2017,,TRUE,Active,10160060.62
114,SRC-0114,SRC Chicago Store 114,Outlet,Medium,864 Main Street,,Chicago,IL,11552,USA,North America,-76.628176,49.006013,Manager 114,manager114@srcstores.com,-6216537,25942,168,17-12-2012,,FALSE,Active,9094695.58
115,SRC-0115,SRC London Store 115,Flagship,Medium,816 Main Street,,London,England,59074,UK,Europe,-14.118356,-23.558136,Manager 115,manager115@srcstores.com,-2511446,7940,99,13-07-2012,,TRUE,Active,19444337.14
116,SRC-0116,SRC London Store 116,Retail,Large,583 Main Street,,London,England,32751,UK,Europe,62.769773,-71.002035,Manager 116,manager116@srcstores.com,-4439942,6765,165,08-03-2010,,FALSE,Active,6937977.98
117,SRC-0117,SRC Chicago Store 117,Retail,Medium,66 Main Street,,Chicago,IL,51988,USA,North America,-29.285088,-113.634081,Manager 117,manager117@srcstores.com,-2428334,26140,96,11-02-2018,,FALSE,Active,19264679.83
